"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 06 19:16:55 GMT 2023","Fri Jan 06 19:16:55 GMT 2023","0","tests","test_registration","TestRegistration","","","Регистрация пользователя с пустыми полями в форме регистрации",""
"broken","Fri Jan 06 19:16:58 GMT 2023","Fri Jan 06 19:16:58 GMT 2023","0","tests","test_registration","TestRegistration","","","Регистрация пользователя с пустыми полями в форме регистрации",""
"broken","Fri Jan 06 19:16:48 GMT 2023","Fri Jan 06 19:16:48 GMT 2023","0","tests","test_cart","TestCart","","","Удаление товара из корзины",""
"broken","Fri Jan 06 19:16:49 GMT 2023","Fri Jan 06 19:16:49 GMT 2023","0","tests","test_login","TestLogin","","","Авторизация пользователя с валидными данными",""
"broken","Fri Jan 06 19:16:50 GMT 2023","Fri Jan 06 19:16:50 GMT 2023","0","tests","test_login","TestLogin","","","Авторизация пользователя с невалидными данными",""
"broken","Fri Jan 06 19:16:51 GMT 2023","Fri Jan 06 19:16:51 GMT 2023","0","tests","test_login","TestLogin","","","Авторизация пользователя с невалидными данными",""
"broken","Fri Jan 06 19:16:52 GMT 2023","Fri Jan 06 19:16:52 GMT 2023","0","tests","test_order","TestOrder","","","Создание заказа c доставкой авторизованным пользователем, у которого в профиле не указан адрес",""
"broken","Fri Jan 06 19:16:47 GMT 2023","Fri Jan 06 19:16:47 GMT 2023","0","tests","test_cart","TestCart","","","Товар отображается во всплывающей корзине",""
"broken","Fri Jan 06 19:16:54 GMT 2023","Fri Jan 06 19:16:54 GMT 2023","0","tests","test_registration","TestRegistration","","","Регистрация пользователя с валидными данными",""
"broken","Fri Jan 06 19:16:53 GMT 2023","Fri Jan 06 19:16:53 GMT 2023","0","tests","test_order","TestOrder","","","Создание заказа c самовывозом неавторизованным пользователем",""
"broken","Fri Jan 06 19:16:46 GMT 2023","Fri Jan 06 19:16:46 GMT 2023","0","tests","test_cart","TestCart","","","Добавление товара в корзину из карточки заказа авторизованным пользователем",""
"broken","Fri Jan 06 19:16:56 GMT 2023","Fri Jan 06 19:16:56 GMT 2023","0","tests","test_registration","TestRegistration","","","Регистрация пользователя с пустыми полями в форме регистрации",""
"broken","Fri Jan 06 19:16:57 GMT 2023","Fri Jan 06 19:16:57 GMT 2023","0","tests","test_registration","TestRegistration","","","Регистрация пользователя с пустыми полями в форме регистрации",""
"broken","Fri Jan 06 19:16:57 GMT 2023","Fri Jan 06 19:16:57 GMT 2023","0","tests","test_registration","TestRegistration","","","Регистрация пользователя с пустыми полями в форме регистрации",""
"broken","Fri Jan 06 19:16:52 GMT 2023","Fri Jan 06 19:16:52 GMT 2023","0","tests","test_login","TestLogin","","","Авторизация пользователя с невалидными данными",""
